Sport,Year,Brand,Set,CardNumber,Player,Team,Parallel_Attributes,Serial,GradingCompany,Grade,CertNumber,IsAuto,Quantity,ListPrice,PricingBasis,CompSource,ConditionNotes,SourcePhoto,ImageURL_pro,MarketplaceStatus
,,Topps,Finest,25,Byron Buxton,Twins,,,,,,,1,3.00,est,,,IMG_4909,,UNLISTED
,,Topps,Finest,21,Hunter Greene,Reds,,,,,,,1,3.00,est,,,IMG_4910,,UNLISTED
,,Topps,Finest Team Finest,,Edwin Diaz,Mets,,,,,,,1,3.00,est,,confirm team,IMG_4910,,UNLISTED
,,Topps,Finest,,Corey Seager,Rangers,,,,,,,1,3.00,est,,,IMG_4910,,UNLISTED
,,Topps,Finest,,Junior Caminero,Rays,,,,,,,1,3.00,est,,,IMG_4911,,UNLISTED
,,Topps,Finest Team Finest,,Corbin Carroll,Diamondbacks,,,,,,,1,3.00,est,,,IMG_4911,,UNLISTED
,,Topps,Finest World's Finest,,Pete Crow-Armstrong,Cubs,,,,,,,1,3.00,est,,,IMG_4911,,UNLISTED
,,Donruss,Elite,,Nolan Ryan,Rangers,,,,,,,1,3.00,est,,,IMG_4911,,UNLISTED
,,Topps,Finest World's Finest,,Bryce Harper,Phillies,,,,,,,1,3.00,est,,,IMG_4911,,UNLISTED
,,Topps,Finest Team Finest,,Cal Raleigh,Mariners,,,,,,,1,3.00,est,,,IMG_4911,,UNLISTED
,,Topps,Finest,,Carlos Rodon,Yankees,,,,,,,1,3.00,est,,,IMG_4911,,UNLISTED
,,Fleer,Tradition (Heart of Eastern),,Mitch Richmond,Wizards,,,,,,,1,3.00,est,,,IMG_4912,,UNLISTED
,,Upper Deck,Pros & Prospects ProActive,20,Gary Payton,SuperSonics,,,,,,,1,3.00,est,,,IMG_4912,,UNLISTED
,,Fleer,Tradition,,Robert Traylor,Bucks,,,,,,,1,3.00,est,,,IMG_4913,,UNLISTED
,,Panini,Origins,14,Brandon Ingram,Pelicans,,,,,,,1,3.00,est,,,IMG_4913,,UNLISTED
,,Panini,Prizm,,Bill Russell,Celtics,Gold,,,,,,1,3.00,est,,,IMG_4913,,UNLISTED
,,Panini,Origins,8,Kemba Walker,Knicks,,,,,,,1,3.00,est,,,IMG_4913,,UNLISTED
,,Topps,(Round 1 Pick 8),5,Dyson Daniels,Hawks,,,,,,,1,3.00,est,,,IMG_4914,,UNLISTED
,,Fleer,Tradition Roundball,,Steve Smith,Hawks,,,,,,,1,3.00,est,,,IMG_4914,,UNLISTED
,,Fleer,Tradition Roundball,,Roshown McLeod,Hawks,,,,,,,1,3.00,est,,,IMG_4914,,UNLISTED
,,Fleer,Tradition Roundball,,Ricky Davis,Hornets,,,,,,,1,3.00,est,,,IMG_4914,,UNLISTED
,,Upper Deck,Hardcourt,,Corey Maggette,Clippers,,,,,,,1,3.00,est,,sealed,IMG_4914,,UNLISTED
,,Panini,NBA Hoops Supreme Court,33,Scottie Pippen,Bulls,,,,,,,1,3.00,est,,sealed,IMG_4915,,UNLISTED
,,Upper Deck,Hardcourt,,Antawn Jamison,Warriors,,,,,,,1,3.00,est,,,IMG_4915,,UNLISTED
,,Fleer,Tradition Roundball,,Brent Barry,Bulls,,,,,,,1,3.00,est,,,IMG_4916,,UNLISTED
,,Fleer,Tradition Roundball,24,Jamal Mashburn,Heat,,,,,,,1,3.00,est,,,IMG_4916,,UNLISTED
,,Fleer,Tradition Roundball,,Calbert Cheaney,Wizards,,,,,,,1,3.00,est,,,IMG_4916,,UNLISTED
,,Panini,Prizm,1,Chris Bosh,Heat,Blue,,,,,,1,3.00,est,,,IMG_4916,,UNLISTED
,,Upper Deck,Pros & Prospects,41,Dirk Nowitzki,Mavericks,,,,,,,1,3.00,est,,,IMG_4916,,UNLISTED
,,Fleer,Tradition Roundball,,Robert Traylor,Bucks,,,,,,,1,3.00,est,,,IMG_4916,,UNLISTED
,,Fleer,Tradition Roundball,,Isaac Austin,Magic,,,,,,,1,3.00,est,,,IMG_4917,,UNLISTED
,,Fleer,Tradition Roundball,,Wesley Person,Cavaliers,,,,,,,1,3.00,est,,,IMG_4917,,UNLISTED
,,Panini,Origins,12,Ayo Dosunmu,Bulls,Red,,,,,,1,3.00,est,,,IMG_4917,,UNLISTED
,,Fleer,Tradition Roundball,20,Lee Nailon,Hornets,,,,,,,1,3.00,est,,,IMG_4917,,UNLISTED
,,Fleer,Tradition Roundball,,Ricky Davis,Hornets,,,,,,,1,3.00,est,,,IMG_4918,,UNLISTED
,,Fleer,Tradition Roundball,,Dee Brown,Celtics,,,,,,,1,3.00,est,,,IMG_4918,,UNLISTED
,,Fleer,Tradition Roundball,,Isaac Austin,Magic,,,,,,,1,3.00,est,,,IMG_4918,,UNLISTED
,,Fleer,Tradition Roundball,,Brent Barry,Bulls,,,,,,,1,3.00,est,,,IMG_4918,,UNLISTED
,,Fleer,Tradition Roundball,11,Dana Barros,Celtics,,,,,,,1,3.00,est,,,IMG_4918,,UNLISTED
,,Panini,Prizm,22,Tiago Splitter,Spurs,Blue,,,,,,1,3.00,est,,,IMG_4919,,UNLISTED
,,Upper Deck,Hardcourt,50,David Robinson,Spurs,,,,,,,1,3.00,est,,,IMG_4920,,UNLISTED
,,Panini,Prizm,3,Trey Burke,Jazz,Red,,,,,,1,3.00,est,,,IMG_4920,,UNLISTED
,,Fleer,Tradition Masters of the Hardwood,,Mike Bibby,Grizzlies,,,,,,,1,3.00,est,,,IMG_4920,,UNLISTED
,,Panini,Prizm,31,Jarrett Allen,Cavaliers,Blue Sparkle,,,,,,1,3.00,est,,,IMG_4920,,UNLISTED
,,Panini,Prizm,20,Gordon Hayward,Hornets,Blue Sparkle,,,,,,1,3.00,est,,,IMG_4920,,UNLISTED
,,Fleer,Tradition Roundball,,John Wallace,Knicks,,,,,,,1,3.00,est,,,IMG_4921,,UNLISTED
,,Topps,Chrome,21,Kevin Garnett,Timberwolves,,,,,,,1,3.00,est,,,IMG_4921,,UNLISTED
,,Panini,NBA Hoops,55,Isaiah Hartenstein,Thunder,,,,,,,1,3.00,est,,,IMG_4921,,UNLISTED
,1999,Fleer,Tradition Rookie Sensations,,Robert Traylor,Bucks,,,,,,,1,3.00,est,,,IMG_4922,,UNLISTED
,,Panini,NBA Hoops Highlights,0,Tyrese Haliburton,Pacers,,,,,,,1,3.00,est,,,IMG_4923,,UNLISTED
,,Panini,NBA Hoops Highlights,32,Aaron Gordon,Nuggets,,,,,,,1,3.00,est,,,IMG_4923,,UNLISTED
,,Panini,Prizm,9,Jerami Grant,Trail Blazers,,,,,,,1,3.00,est,,,IMG_4923,,UNLISTED
,,Panini,Prizm,,Bobby Portis,Bucks,Blue Sparkle,,,,,,1,3.00,est,,,IMG_4923,,UNLISTED
,,Panini,Prizm,,Bill Walton,Clippers,,,,,,,1,3.00,est,,,IMG_4923,,UNLISTED
,,Topps,Chrome Power Players,,Lamar Jackson,Ravens,,,,,,,1,3.00,est,,,IMG_4925,,UNLISTED
,,Topps,Chrome (insert),,Kerry Joseph,Lions,Checkerboard,,,,,,1,3.00,est,,confirm player,IMG_4926,,UNLISTED
,,Topps,Chrome,,Marquez Valdes-Scantling,Seahawks,Pink Xfractor,,,,,,1,3.00,est,,,IMG_4926,,UNLISTED
,2025,Panini,Absolute Introductions,,Browns Rookie Premiere (Sanders/Judkins et al),Browns,,,,,,,1,3.00,est,,"group card, sealed",IMG_4926,,UNLISTED
,,Topps,Chrome,65,Lane Johnson,Eagles,Pink Xfractor,,,,,,1,3.00,est,,,IMG_4927,,UNLISTED
,,Panini,Mosaic Touchdown Masters,5,Jayden Daniels,Commanders,,,,,,,1,3.00,est,,,IMG_4928,,UNLISTED
,,Topps,Chrome All-Chrome,88,CeeDee Lamb,Cowboys,,,,,,,1,3.00,est,,,IMG_4928,,UNLISTED
,,Topps,Chrome,65,Lane Johnson,Eagles,,,,,,,1,3.00,est,,,IMG_4928,,UNLISTED
,,Panini,Mosaic Men of Mastery,11,Larry Fitzgerald,Cardinals,,,,,,,1,3.00,est,,,IMG_4928,,UNLISTED
,,Panini,Mosaic Hall of Fame,54,Brian Urlacher,Bears,Red,,,,,,1,3.00,est,,,IMG_4929,,UNLISTED
,,Panini,Mosaic Touchdown Masters,17,Puka Nacua,Rams,,,,,,,1,3.00,est,,,IMG_4929,,UNLISTED
,,Topps,Chrome,95,Myles Garrett,Browns,,,,,,,1,3.00,est,,,IMG_4929,,UNLISTED
,,Panini,Mosaic,87,Travis Kelce,Chiefs,Red,,,,,,1,3.00,est,,,IMG_4929,,UNLISTED
,,Panini,Mosaic,21,Mark Ingram II,Ravens,Silver,,,,,,1,3.00,est,,,IMG_4930,,UNLISTED
,,Panini,Mosaic,22,Derrick Henry,Titans,Silver,,,,,,1,3.00,est,,,IMG_4930,,UNLISTED
,,Panini,Prizm,,Micah McFadden,Giants,,,,,,,1,3.00,est,,,IMG_4930,,UNLISTED
,,Panini,Prizm,7,Rashod Bateman,Ravens,,,,,,,1,3.00,est,,,IMG_4930,,UNLISTED
,,Topps,Chrome,,Tee Higgins,Bengals,Xfractor,,,,,,1,3.00,est,,,IMG_4931,,UNLISTED
,,Panini,Mosaic Montage,8,Lamar Jackson,Ravens,,,,,,,1,3.00,est,,,IMG_4931,,UNLISTED
,,Panini,Mosaic Pro Bowl,8,Lamar Jackson,Ravens,,,,,,,1,3.00,est,,,IMG_4931,,UNLISTED
,,Donruss,Optic,,DeAndre Hopkins,Ravens,,,,,,,1,3.00,est,,,IMG_4932,,UNLISTED
,,Panini,Mosaic Touchdown Masters,26,Jahmyr Gibbs,Lions,,,,,,,1,3.00,est,,,IMG_4932,,UNLISTED
,,Panini,Mosaic Touchdown Masters,8,Lamar Jackson,Ravens,,,,,,,1,3.00,est,,,IMG_4933,,UNLISTED
,,Panini,Mosaic Hall of Fame,85,Antonio Gates,Chargers,,,,,,,1,3.00,est,,,IMG_4933,,UNLISTED
,,Panini,Mosaic,29,Kareem Hunt,Chiefs,Pink Camo,,,,,,1,3.00,est,,,IMG_4933,,UNLISTED
,,Topps,Chrome,11,Brandon Aiyuk,49ers,,,,,,,1,3.00,est,,,IMG_4933,,UNLISTED
,,Panini,Mosaic,12,Joe Namath,Jets,Green,,,,,,1,3.00,est,,,IMG_4933,,UNLISTED
,,Panini,Mosaic,81,Tim Brown,Raiders,Pink Camo,,,,,,1,3.00,est,,,IMG_4933,,UNLISTED
,,Panini,Prizm,,Max Fried,Braves,White Sparkle,,,,,,1,3.00,est,,,IMG_4934,,UNLISTED
,,Donruss,Optic,,Pie Traynor,Pirates,,,,,,,1,3.00,est,,,IMG_4934,,UNLISTED
,,Topps,Chrome,10,Bo Nix,Broncos,,,,,,,1,3.00,est,,sealed,IMG_4935,,UNLISTED
,,Bowman,University Chrome Prospects,12,JuJu Watkins,USC,,,,,,,1,3.00,est,,womens college,IMG_4937,,UNLISTED
,,Topps,Xpectations,,Shaquille O'Neal,Lakers,,,,,,,1,3.00,est,,,IMG_4939,,UNLISTED
,,Topps,Chrome Power Core,4,Charles Barkley,Rockets,,,,,,,1,3.00,est,,,IMG_4939,,UNLISTED
,,Topps,Chrome Key Master,33,Patrick Ewing,Knicks,,,,,,,1,3.00,est,,,IMG_4939,,UNLISTED
,,Topps,Chrome Shooting Stars,22,Clyde Drexler,Rockets,,,,,,,1,3.00,est,,,IMG_4939,,UNLISTED
,,Upper Deck,Hardcourt Court Forces,34,Shaquille O'Neal,Lakers,,,,,,,1,3.00,est,,,IMG_4940,,UNLISTED
,,Topps,Finest,85,George Kittle,49ers,Xfractor,,,,,,1,3.00,est,,sealed,IMG_4941,,UNLISTED
,,Topps,Chrome Cosmic,,Trey McBride,Cardinals,,,,,,,1,3.00,est,,sealed,IMG_4942,,UNLISTED
,,Topps,Chrome,23,Christian McCaffrey,49ers,Pink Xfractor,,,,,,1,3.00,est,,sealed,IMG_4942,,UNLISTED
,,Panini,Prizm,10,Bob Love,Bulls,Gold,,,,,,1,3.00,est,,,IMG_4943,,UNLISTED
,,Panini,Origins,30,Julius Randle,Knicks,,,,,,,1,3.00,est,,,IMG_4943,,UNLISTED
,,Panini,Prizm,,Mark Williams,Hornets,Blue,,,,,,1,3.00,est,,,IMG_4943,,UNLISTED
,,Upper Deck,Hardcourt Court Forces,31,Reggie Miller,Pacers,,,,,,,1,3.00,est,,,IMG_4943,,UNLISTED
,,Panini,Prizm,21,Tim Duncan,Spurs,Silver,,,,,,1,3.00,est,,,IMG_4944,,UNLISTED
,,Upper Deck,Hardcourt Court Forces,3,Allen Iverson,76ers,,,,,,,1,3.00,est,,,IMG_4944,,UNLISTED
,,Panini,Prizm,24,Moses Malone,Rockets,Gold,,,,,,1,3.00,est,,,IMG_4944,,UNLISTED
,,Panini,Prizm,50,David Robinson,Spurs,Purple,,,,,,1,3.00,est,,,IMG_4944,,UNLISTED
,,Upper Deck,Collector's Choice 101 Collecting,,Ken Griffey Jr.,Mariners,,,,,,,1,3.00,est,,sealed,IMG_4946,,UNLISTED
,,Donruss,,,Mariano Rivera,Yankees,,,,,,,1,3.00,est,,,IMG_4946,,UNLISTED
,,Panini,Mosaic,95,Myles Garrett,Browns,Red,,,,,,1,3.00,est,,,IMG_4948,,UNLISTED
,,Panini,Prizm,40,Cody Zeller,Hornets,Blue,,,,,,1,3.00,est,,,IMG_4949,,UNLISTED
,,Panini,Prizm,22,Trent McDuffie,Chiefs,,,,,,,1,3.00,est,,,IMG_4950,,UNLISTED
,,Panini,Mosaic Men of Mastery,11,Larry Fitzgerald,Cardinals,White Sparkle,,,,,,1,3.00,est,,sealed,IMG_4950,,UNLISTED
,,Topps,,1,Tracy McGrady,Raptors,,,,,,,1,3.00,est,,,IMG_4951,,UNLISTED
,,Topps,Chrome Topps 40,22,Clyde Drexler,Rockets,,,,,,,1,3.00,est,,,IMG_4951,,UNLISTED
,,Topps,Chrome Topps 40,,Eddie Jones,Lakers,,,,,,,1,3.00,est,,,IMG_4951,,UNLISTED
,,Upper Deck,Pros & Prospects,34,Paul Pierce,Celtics,,,,,,,1,3.00,est,,,IMG_4951,,UNLISTED
,,Topps,Chrome Topps 40,,Anfernee Hardaway,Magic,,,,,,,1,3.00,est,,,IMG_4951,,UNLISTED
,,Panini,Prizm,21,Jrue Holiday,Bucks,Red Sparkle,,,,,,1,3.00,est,,,IMG_4952,,UNLISTED
,,Topps,Chrome Topps 40,22,Clyde Drexler,Rockets,,,,,,,1,3.00,est,,,IMG_4952,,UNLISTED
,,Panini,Prizm,32,Shaquille O'Neal,Magic,Silver,,,,,,1,3.00,est,,,IMG_4952,,UNLISTED
,,Panini,Prizm,,Deandre Ayton,Suns,Red Sparkle,,,,,,1,3.00,est,,,IMG_4952,,UNLISTED
,,Panini,Prizm,,Collin Sexton,Jazz,Red Sparkle,,,,,,1,3.00,est,,,IMG_4952,,UNLISTED
,,Fleer,Tradition Rookie Sensations,7,Antawn Jamison,Warriors,,,,,,,1,3.00,est,,,IMG_4953,,UNLISTED
,,Panini,NBA Hoops,11,Kyrie Irving,Mavericks,,,,,,,1,3.00,est,,,IMG_4953,,UNLISTED
,,Topps,Chrome Topps 40,32,Joe Smith,Nuggets,,,,,,,1,3.00,est,,,IMG_4953,,UNLISTED
,,Fleer,Tradition Masters of the Hardwood,10,Mike Bibby,Grizzlies,,,,,,,1,3.00,est,,,IMG_4953,,UNLISTED
,,Upper Deck,Hardcourt,3,Chauncey Billups,Raptors,,,,,,,1,3.00,est,,,IMG_4953,,UNLISTED
,,Panini,NBA Hoops,10,Jimmy Butler III,Warriors,,,,,,,1,3.00,est,,,IMG_4954,,UNLISTED
,,Upper Deck,Pros & Prospects,21,Kevin Garnett,Timberwolves,,,,,,,1,3.00,est,,,IMG_4954,,UNLISTED
,,Topps,Chrome Topps 40,32,Christian Laettner,Hawks,,,,,,,1,3.00,est,,,IMG_4954,,UNLISTED
